Domain        Monitoring and control,,,,,,,,,,
,,,,,,,,,,
,level 2,Manual override and reactivation of DSM control by the building user,0,1,0,1,0,0,0,
,level 3,Scheduled override of DSM control (and reactivation) by the building user,0,1,0,2,0,1,0,
,level 4,Scheduled override of DSM control and reactivation with optimised control,0,2,0,3,0,1,0,
,,,,,,,,,,
,"Information sources
Standard?",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,code,service,1,,,,,,,
,MC-30,"Single platform that allows automated control & coordination between TBS + optimization of energy flow based on occupancy,
weather and grid signals",Service group:     ation between TBS + optimization of e,,,,,,,
,,,,,,,,,,
,Functionality levels,,IMPACTS,,,,,,,
,,,Energy efficiency,Energy flexibility and storage,Comfort,Convenience,"Health, well-being and accessibility",Maintenance and fault prediction,Information to occupants,
,level 0,None,0,0,0,0,0,0,0,
,level 1,Single platform that allows manual control of multiple TBS,0,0,0,1,0,1,0,
,level 2,Single platform that allows automated control & coordination between TBS,1,0,0,2,0,1,0,
,level 3,"Single platform that allows automated control & coordination between TBS
+ optimization of energy flow based on occupancy, weather and grid signals",2,0,0,3,0,1,0,
,level 4,0,,,,,,,,
,,,,,,,,,,
,"Information sources
Standard?",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
