Domain,Code,Service group,Smart ready service,Functionality level 0 (as non-smart default),Functionality level 1,Functionality level 2,Functionality level 3,Functionality level 4,part of the method A: 1 - YES; 0 - NO,part of the method B: 1 - YES; 0 - NO,Preconditions / Dependency on other services or building types,"TRIAGE: 1 - This service affects maximum obtainable score, even if service is not applicable in this building;  0 - This service does not affect maximum obtainable score when not present in building",14,"Service included in the selected method (A/B/custom): 0 - not included, 1 - included",1 - This domain is present; 2 - This domain is absent but mandatory; 0 - This domain is absent and not mandatory,,,
Ventilation,V-3,Free cooling,Free cooling with mechanical ventilation system,No automatic control,Night cooling,"Free cooling: air flows modulated during all periods of time to minimize the amount of mechanical
cooling","H,x- directed control: The amount of outside air and recirculation air are modulated during all periods of time to minimize the amount of mechanical cooling. Calculation is performed on the basis of temperatures and humidity
(enthalpy).",,0,1,Only in case of mechanical or hybrid ventilation,0,V,1,1,,,
Ventilation,V-6,Feedback - Reporting information ,Reporting information regarding IAQ,None,Air quality sensors (e.g. CO2) and real time autonomous monitoring,Real time monitoring & historical information of IAQ available to occupants,Real time monitoring & historical information of IAQ available to occupants + warning on maintenance needs or occupant actions (e.g. window opening),,1,1,Always to be assessed,1,V,1,1,,,
Lighting,L-1a,Artificial lighting control,Occupancy control for indoor lighting,Manual on/off switch,Manual on/off switch + additional sweeping extinction signal,Automatic detection (auto on / dimmed or auto off),Automatic detection (manual on / dimmed or auto off),,1,1,Always to be assessed,1,L,1,1,,,
Lighting,L-2,Control artificial lighting power based on daylight levels,Control artificial lighting power based on daylight levels,Manual (central),Manual (per room / zone),Automatic switching,Automatic dimming,"Automatic dimming including scene-based light control (during time intervals, dynamic and
adapted lighting scenes are set, for example, in terms of
illuminance level, different correlated colour temperature (CCT)
and the possibility to change the light distribution within the space
according to e. g. design, human needs, visual tasks)",0,1,Always to be assessed,1,L,1,1,,,
Dynamic building envelope,DE-1,Window control,Window solar shading control,No sun shading or only manual operation,Motorized operation with manual control,Motorized operation with automatic control based on sensor data,Combined light/blind/HVAC control,Predictive blind control (e.g. based on weather forecast),1,1,"Only applicable in case movable shades, screens or blinds are present",0,DE,1,1,,,
Dynamic building envelope,DE-2,Window control,"Window open/closed control, combined with HVAC system",Manual operation or only fixed windows,Open/closed detection to shut down heating or cooling systems,Level 1 + Automised mechanical window opening based on room sensor data,"Level 2 + Centralized coordination of operable windows, e.g. to control free natural night cooling",,0,1,0,1,DE,1,1,,,
Dynamic building envelope,DE-4,Feedback - Reporting information ,Reporting information regarding performance of dynamic building envelope systems,No reporting,Position of each product & fault detection,"Position of each product, fault detection & predictive maintenance","Position of each product, fault detection, predictive maintenance, real-time sensor data (wind, lux, temperature…)","Position of each product, fault detection, predictive maintenance, real-time & historical sensor data (wind, lux, temperature…)",1,1,"Only applicable in case movable shades, screens or blinds are present",0,DE,1,1,,,
Electricity,E-2,Feedback - Reporting information ,Reporting information regarding local electricity generation,None,Current generation data available,Actual values and historical data,Performance evaluation including forecasting and/or benchmarking,Performance evaluation including forecasting and/or benchmarking; also including predictive management and fault detection,1,1,Only applicable in case of local energy generation,0,E,1,1,,,
Electricity,E-3,DER - Storage,Storage of (locally generated) electricity,None,On site storage of electricity (e.g. electric battery),On site storage of energy (e.g. electric battery or thermal storage) with controller based on grid signals,On site storage of energy (e.g. electric battery or thermal storage) with controller optimising the use of locally generated electricity,On site storage of energy (e.g. electric battery or thermal storage) with controller optimising the use of locally generated electricity and possibility to feed back into the grid,1,1,Only applicable in case of local energy generation,0,E,1,1,,,
Electricity,E-4,DER- Optimization,Optimizing self-consumption of locally generated electricity,None,"Scheduling electricity consumption (plug loads, white goods, etc.)",Automated management of local electricity consumption based on current renewable energy availability,Automated management of local electricity consumption based on current and predicted energy needs and renewable energy availability,,0,1,Only applicable in case of local energy generation,0,E,1,1,,,
Electricity,E-5,DER - Generation Control,Control of combined heat and power plant (CHP),CHP control based on scheduled runtime management and/or current heat energy demand,CHP runtime control influenced by the fluctuating availability of RES; overproduction will be fed into the grid,CHP runtime control influenced by the fluctuating availability of RES and grid signals; dynamic charging and runtime control to optimise self-consumption of renewables,,,0,1,Only applicable in case of CHP,0,E,1,1,,,
Electricity,E-8,DSM- Storage,Support of (micro)grid operation modes,None,Automated management of (building-level) electricity consumption based on grid signals,Automated management of (building-level) electricity consumption and electricity supply to neighbouring buildings (microgrid) or grid,"Automated management of (building-level) electricity consumption and supply, with potential to continue limited off-grid operation (island mode)",,0,1,Only applicable in case of local energy storage,0,E,1,1,,,
Electricity,E-11,Feedback - Reporting information ,Reporting information regarding energy storage,None,Current state of charge (SOC) data available,Actual values and historical data,Performance evaluation including forecasting and/or benchmarking,Performance evaluation including forecasting and/or benchmarking; also including predictive management and fault detection,1,1,Only applicable in case of local energy storage,0,E,1,1,,,
Electricity,E-12,Feedback - Reporting information ,Reporting information regarding electricity consumption,None,reporting on current electricity consumption on building level,real-time feedback or benchmarking on building level,real-time feedback or benchmarking on appliance level,real-time feedback or benchmarking on appliance level with automated personalized recommendations,1,1,Always to be assessed,1,E,1,1,,,
Electric vehicle charging,EV-15,EV Charging,EV Charging Capacity,not present,ducting (or simple power plug) available,0-9% of parking spaces has recharging points,10-50% or parking spaces has recharging point,>50% of parking spaces has recharging point,1,1,Only to be assessed if parking spots available on site,0,EV,1,1,,,
Electric vehicle charging,EV-16,EV Charging - Grid,EV Charging Grid balancing,Not present (uncontrolled charging),1-way controlled charging (e.g. including desired departure time and grid signals for optimization),2-way controlled charging (e.g. including desired departure time and grid signals for optimization),,,1,1,Only to be assessed if EV charging available on site,0,EV,1,1,,,
Electric vehicle charging,EV-17,EV Charging - connectivity,EV charging information and connectivity,No information available,Reporting information on EV charging status to occupant,Reporting information on EV charging status to occupant AND automatic identification and authorizition of the driver to the charging station (ISO 15118 compliant),,,1,1,Only to be assessed if EV charging available on site,0,EV,1,1,,,
Monitoring and control,MC-3,HVAC interaction control,Run time management of HVAC systems,Manual setting ,Runtime setting of heating and cooling plants following a predefined time schedule ,Heating and cooling plant on/off control based on building loads,Heating and cooling plant on/off control based on predictive control or grid signals,,0,1,0,1,MC,1,1,,,
Monitoring and control,MC-4,Fault detection,Detecting faults of technical building systems and providing support to the diagnosis of these faults,No central indication of detected faults and alarms,With central indication of detected faults and alarms for at least 2 relevant TBS,With central indication of detected faults and alarms for all relevant TBS,"With central indication of detected faults and alarms for all relevant TBS, including diagnosing functions",,0,1,0,1,MC,1,1,,,
Monitoring and control,MC-9,TBS interaction control,Occupancy detection: connected services,None,"Occupancy detection for individual functions, e.g. lighting",Centralised occupant detection which feeds in to several TBS such as lighting and heating,,,0,1,0,1,MC,1,1,,,
Monitoring and control,MC-13,Feedback - Reporting information ,Central reporting of TBS performance and energy use,None,Central or remote reporting of realtime energy use per energy carrier,"Central or remote reporting of realtime energy use per energy carrier, combining TBS of at least 2 domains in one interface","Central or remote reporting of realtime energy use per energy carrier, combining TBS of all main domains in one interface",,1,1,0,1,MC,1,1,,,
Monitoring and control,MC-25,Smart Grid Integration,Smart Grid Integration,None - No harmonization between grid and TBS; building is operated independently from the grid load ,"Demand side management possible for (some) individual TBS, but not coordinated over various domains",Coordinated demand side management of multiple TBS,,,1,1,The inspectability of the nature of the control algorithm would need to be facilitated for level 2. Service 7.5 in EN15232-1-17. Average impacts derived from multiple simulations to produce BACS factors in EN15232. ,1,MC,1,1,,,
Monitoring and control,MC-28,Feedback - Reporting information ,Reporting information regarding demand side management performance and operation,None,"Reporting information on current DSM status, including managed energy flows","Reporting information on currenthistorical and predicted DSM status, including managed energy flows",,,0,1,0,1,MC,1,1,,,
Monitoring and control,MC-29,Override control,Override of DSM control,No DSM control,DSM control without the possibility to override this control by the building user (occupant or facility manager),Manual override and reactivation of DSM control by the building user ,Scheduled override of DSM control (and reactivation) by the building user ,Scheduled override of DSM control and reactivation with optimised control,0,1,0,1,MC,1,1,,,
Monitoring and control,MC-30,"Single platform that allows automated control & coordination between TBS + optimization of energy flow based on occupancy, weather and grid signals","Single platform that allows automated control & coordination between TBS + optimization of energy flow based on occupancy, weather and grid signals",None,Single platform that allows manual control of multiple TBS,Single platform that allows automated control & coordination between TBS,"Single platform that allows automated control & coordination between TBS + optimization of energy flow based on occupancy, weather and grid signals",,1,1,Always to be assessed,1,MC,1,1,,,
